"매출월","요일","점포","성별","구매건수"
"1","토","o","남자","30649"
"1","일","a","여","5861"
"1","월","b","남자","7986"
"1","화","c","여","16343"
"1","수","d","남자","11366"
"1","목","e","여","24001"
"1","금","f","남자","24465"
"1","토","g","여","43526"
"1","일","h","남자","28661"
"1","월","i","여","10578"
"1","화","j","남자","15572"
"1","수","k","여","37408"
"1","목","l","남자","21059"
"1","금","m","여","33323"
"1","토","n","남자","22226"
"1","일","o","여","1714"
"2월",,,,
,,,,
"2","월","a","남자","43421"
"2","화","b","여","13416"
"2","수","c","남자","24219"
"2","목","d","여","20317"
"2","금","e","남자","49710"
"2","토","f","여","28197"
"2","일","g","남자","46259"
"2","월","h","여","16489"
"2","화","i","남자","42968"
"2","수","j","여","8650"
"2","목","k","남자","21509"
"2","금","l","여","6669"
"2","토","m","남자","33150"
"2","일","n","여","42604"
"2","월","o","남자","18513"
"2","화","a","여","9545"
"2","수","b","남자","22528"
"2","목","c","여","14485"
"2","금","d","남자","33005"
"2","토","e","여","25439"
"2","일","f","남자","32303"
"2","월","g","여","21620"
"2","화","h","남자","11165"
"2","수","i","여","34827"
"2","목","j","남자","19305"
"2","금","k","여","40047"
"2","토","l","남자","35018"
"2","일","m","여","39350"
"2","월","n","남자","42490"
"2","화","o","여","17928"
"2","수","a","남자","3312"
"2","목","b","여","45917"
"2","금","c","남자","32887"
"2","토","d","여","10742"
"2","일","e","남자","35014"
"2","월","f","여","11455"
"2","화","g","남자","43173"
"2","수","h","여","21697"
"2","목","i","남자","659"
"2","금","j","여","48047"
"2","토","k","남자","15016"
"2","일","l","여","41712"
"2","월","m","남자","23045"
"2","화","n","여","39767"
"2","수","o","남자","9238"
"2","목","a","여","24004"
"2","금","b","남자","19987"
"2","토","c","여","39381"
"2","일","d","남자","13644"
"2","월","e","여","24387"
"2","화","f","남자","14144"
"2","수","g","여","48815"
"2","목","h","남자","26181"
"2","금","i","여","13410"
"2","토","j","남자","21727"
"2","일","k","여","30736"
"2","월","l","남자","19364"
"2","화","m","여","28788"
"2","수","n","남자","2094"
"2","목","o","여","46195"
"2","금","a","남자","42184"
"2","토","b","여","35586"
"2","일","c","남자","6485"
"2","월","d","여","30748"
"2","화","e","남자","17389"
"2","수","f","여","11433"
"2","목","g","남자","26393"
"2","금","h","여","45913"
"2","토","i","남자","23962"
"2","일","j","여","15589"
"2","월","k","남자","42471"
"2","화","l","여","37392"
"2","수","m","남자","14571"
"2","목","n","여","32477"
"2","금","o","남자","34542"
"2","토","a","여","32936"
"2","일","b","남자","49370"
"2","월","c","여","49812"
"2","화","d","남자","23827"
"2","수","e","여","37092"
"2","목","f","남자","4455"
"2","금","g","여","10442"
"2","토","h","남자","38025"
"2","일","i","여","41837"
"2","월","j","남자","42987"
"2","화","k","여","24288"
"2","수","l","남자","2333"
"2","목","m","여","27233"
"2","금","n","남자","46316"
"2","토","o","여","45981"
"2","일","a","남자","30070"
"2","월","b","여","19743"
"2","화","c","남자","25769"
"2","수","d","여","13158"
"2","목","e","남자","39285"
"2","금","f","여","3856"
"2","토","g","남자","20247"
"2","일","h","여","672"
"2","월","i","남자","34100"
"2","화","j","여","43444"
"2","수","k","남자","25180"
"2","목","l","여","10118"
"2","금","m","남자","32846"
"2","토","n","여","30534"
"2","일","o","남자","10166"
"2","월","a","여","6989"
"2","화","b","남자","11487"
"2","수","c","여","44039"
"2","목","d","남자","37064"
"2","금","e","여","32735"
"2","토","f","남자","13631"
"2","일","g","여","42219"
"2","월","h","남자","7801"
"2","화","i","여","45142"
"2","수","j","남자","44286"
"2","목","k","여","13665"
"2","금","l","남자","23050"
"2","토","m","여","31479"
"2","일","n","남자","8289"
"2","월","o","여","36640"
"2","화","a","남자","32010"
"2","수","b","여","40706"
"2","목","c","남자","24399"
"2","금","d","여","39540"
"2","토","e","남자","34634"
"2","일","f","여","35327"
"2","월","g","남자","43308"
"2","화","h","여","5180"
"2","수","i","남자","43783"
"2","목","j","여","40826"
"2","금","k","남자","20878"
"2","토","l","여","14391"
"2","일","m","남자","39631"
"2","월","n","여","34805"
"2","화","o","남자","41244"
"2","수","a","여","46754"
"2","목","b","남자","26217"
"2","금","c","여","23028"
"2","토","d","남자","7139"
"2","일","e","여","46594"
"2","월","f","남자","24269"
"2","화","g","여","9714"
"2","수","h","남자","5568"
"2","목","i","여","14020"
"2","금","j","남자","22768"
"2","토","k","여","9991"
"2","일","l","남자","13164"
"2","월","m","여","21163"
"2","화","n","남자","30897"
"2","수","o","여","16604"
"2","목","a","남자","18212"
"2","금","b","여","3518"
"2","토","c","남자","21101"
"2","일","d","여","33394"
"2","월","e","남자","9288"
"2","화","f","여","45613"
"2","수","g","남자","11286"
"2","목","h","여","28796"
"2","금","i","남자","23160"
"2","토","j","여","28307"
"2","일","k","남자","24056"
"2","월","l","여","46952"
"2","화","m","남자","19494"
"2","수","n","여","15466"
"2","목","o","남자","12060"
"2","금","a","여","10723"
"2","토","b","남자","6642"
"2","일","c","여","22865"
"2","월","d","남자","29800"
"2","화","e","여","44955"
"2","수","f","남자","30407"
"2","목","g","여","18947"
"2","금","h","남자","19793"
"2","토","i","여","47622"
"2","일","j","남자","10775"
"2","월","k","여","920"
"2","화","l","남자","13918"
"2","수","m","여","8194"
"2","목","n","남자","38799"
"2","금","o","여","41869"
"2","토","a","남자","45563"
"2","일","b","여","24726"
"2","월","c","남자","37129"
"2","화","d","여","25222"
"2","수","e","남자","32027"
"2","목","f","여","38165"
"2","금","g","남자","47482"
"2","토","h","여","3739"
"2","일","i","남자","45829"
"2","월","j","여","18671"
"2","화","k","남자","34917"
"2","수","l","여","11200"
"2","목","m","남자","25857"
"2","금","n","여","45242"
"2","토","o","남자","20545"
"2","일","a","여","9236"
"2","월","b","남자","30095"
"2","화","c","여","17913"
"2","수","d","남자","4187"
"2","목","e","여","17568"
"2","금","f","남자","5437"
"2","토","g","여","24490"
"2","일","h","남자","17970"
"2","월","i","여","11266"
"2","화","j","남자","12201"
"2","수","k","여","5948"
"2","목","l","남자","13863"
"2","금","m","여","46055"
"2","토","n","남자","22694"
"2","일","o","여","6585"
"3월",,,,
,,,,
"3","월","a","남자","49269"
"3","화","b","여","4866"
"3","수","c","남자","435"
"3","목","d","여","42836"
"3","금","e","남자","42659"
"3","토","f","여","26775"
"3","일","g","남자","49036"
"3","월","h","여","24259"
"3","화","i","남자","45192"
"3","수","j","여","35510"
"3","목","k","남자","9969"
"3","금","l","여","7308"
"3","토","m","남자","4453"
"3","일","n","여","27812"
"3","월","o","남자","34333"
"3","화","a","여","31313"
"3","수","b","남자","18224"
"3","목","c","여","11001"
"3","금","d","남자","45592"
"3","토","e","여","19360"
"3","일","f","남자","46542"
"3","월","g","여","1609"
"3","화","h","남자","43341"
"3","수","i","여","22011"
"3","목","j","남자","16570"
"3","금","k","여","14360"
"3","토","l","남자","31878"
"3","일","m","여","6345"
"3","월","n","남자","6286"
"3","화","o","여","16596"
"3","수","a","남자","4020"
"3","목","b","여","27414"
"3","금","c","남자","6794"
"3","토","d","여","3202"
"3","일","e","남자","872"
"3","월","f","여","21754"
"3","화","g","남자","43836"
"3","수","h","여","19811"
"3","목","i","남자","40202"
"3","금","j","여","2901"
"3","토","k","남자","30284"
"3","일","l","여","48573"
"3","월","m","남자","45362"
"3","화","n","여","26305"
"3","수","o","남자","5330"
"3","목","a","여","11312"
"3","금","b","남자","27166"
"3","토","c","여","11942"
"3","일","d","남자","23538"
"3","월","e","여","12597"
"3","화","f","남자","31109"
"3","수","g","여","27031"
"3","목","h","남자","11013"
"3","금","i","여","46266"
"3","토","j","남자","11314"
"3","일","k","여","42558"
"3","월","l","남자","3063"
"3","화","m","여","23560"
"3","수","n","남자","31062"
"3","목","o","여","29019"
"3","금","a","남자","2207"
"3","토","b","여","32919"
"3","일","c","남자","47835"
"3","월","d","여","12360"
"3","화","e","남자","36155"
"3","수","f","여","21934"
"3","목","g","남자","27418"
"3","금","h","여","4656"
"3","토","i","남자","7620"
"3","일","j","여","48435"
"3","월","k","남자","11693"
"3","화","l","여","36038"
"3","수","m","남자","12521"
"3","목","n","여","14844"
"3","금","o","남자","41899"
"3","토","a","여","12745"
"3","일","b","남자","16754"
"3","월","c","여","46578"
"3","화","d","남자","12919"
"3","수","e","여","46433"
"3","목","f","남자","9883"
"3","금","g","여","46155"
"3","토","h","남자","6377"
"3","일","i","여","33074"
"3","월","j","남자","11261"
"3","화","k","여","32594"
"3","수","l","남자","30184"
"3","목","m","여","18481"
"3","금","n","남자","46419"
"3","토","o","여","17767"
"3","일","a","남자","11455"
"3","월","b","여","14163"
"3","화","c","남자","49841"
"3","수","d","여","26971"
"3","목","e","남자","12223"
"3","금","f","여","29212"
"3","토","g","남자","45496"
"3","일","h","여","48227"
"3","월","i","남자","25179"
"3","화","j","여","42370"
"3","수","k","남자","16195"
"3","목","l","여","40397"
"3","금","m","남자","23949"
"3","토","n","여","3877"
"3","일","o","남자","6649"
"3","월","a","여","31854"
"3","화","b","남자","14725"
"3","수","c","여","17416"
"3","목","d","남자","28758"
"3","금","e","여","24203"
"3","토","f","남자","38136"
"3","일","g","여","31024"
"3","월","h","남자","22569"
"3","화","i","여","45602"
"3","수","j","남자","35402"
"3","목","k","여","10525"
"3","금","l","남자","26633"
"3","토","m","여","16388"
"3","일","n","남자","33897"
"3","월","o","여","49169"
"3","화","a","남자","24332"
"3","수","b","여","19429"
"3","목","c","남자","24747"
"3","금","d","여","30217"
"3","토","e","남자","43425"
"3","일","f","여","6037"
"3","월","g","남자","6920"
"3","화","h","여","37149"
"3","수","i","남자","37628"
"3","목","j","여","40121"
"3","금","k","남자","36044"
"3","토","l","여","32116"
"3","일","m","남자","15414"
"3","월","n","여","10771"
"3","화","o","남자","103"
"3","수","a","여","43658"
"3","목","b","남자","36393"
"3","금","c","여","26255"
"3","토","d","남자","4634"
"3","일","e","여","31438"
"3","월","f","남자","45328"
"3","화","g","여","40978"
"3","수","h","남자","48021"
"3","목","i","여","40820"
"3","금","j","남자","36604"
"3","토","k","여","27219"
"3","일","l","남자","42268"
"3","월","m","여","888"
"3","화","n","남자","45568"
"3","수","o","여","6454"
"3","목","a","남자","32684"
"3","금","b","여","36842"
"3","토","c","남자","4749"
"3","일","d","여","23245"
"3","월","e","남자","29442"
"3","화","f","여","22880"
"3","수","g","남자","506"
"3","목","h","여","19349"
"3","금","i","남자","29776"
"3","토","j","여","20686"
"3","일","k","남자","21422"
"3","월","l","여","43360"
"3","화","m","남자","19751"
"3","수","n","여","2042"
"3","목","o","남자","44657"
"3","금","a","여","47244"
"3","토","b","남자","48290"
"3","일","c","여","32854"
"3","월","d","남자","47363"
"3","화","e","여","35591"
"3","수","f","남자","6034"
"3","목","g","여","23037"
"3","금","h","남자","9170"
"3","토","i","여","505"
"3","일","j","남자","12926"
"3","월","k","여","30743"
"3","화","l","남자","40765"
"3","수","m","여","2814"
"3","목","n","남자","37593"
"3","금","o","여","49600"
"3","토","a","남자","10023"
"3","일","b","여","1217"
"3","월","c","남자","1317"
"3","화","d","여","337"
"3","수","e","남자","29583"
"3","목","f","여","13483"
"3","금","g","남자","43843"
"3","토","h","여","37935"
"3","일","i","남자","35346"
"3","월","j","여","29869"
"3","화","k","남자","43859"
"3","수","l","여","27646"
"3","목","m","남자","39919"
"3","금","n","여","46829"
"3","토","o","남자","34793"
"3","일","a","여","32205"
"3","월","b","남자","38417"
"3","화","c","여","22838"
"3","수","d","남자","44902"
"3","목","e","여","43567"
"3","금","f","남자","46159"
"3","토","g","여","4668"
"3","일","h","남자","21866"
"3","월","i","여","735"
"3","화","j","남자","37396"
"3","수","k","여","8187"
"3","목","l","남자","35233"
"3","금","m","여","27487"
"3","토","n","남자","7299"
"3","일","o","여","3679"
"4월",,,,
,,,,
"4","월","a","남자","49118"
"4","화","b","여","21243"
"4","수","c","남자","48262"
"4","목","d","여","39213"
"4","금","e","남자","14330"
"4","토","f","여","33440"
"4","일","g","남자","21620"
"4","월","h","여","40060"
"4","화","i","남자","41204"
"4","수","j","여","15088"
"4","목","k","남자","17774"
"4","금","l","여","846"
"4","토","m","남자","2745"
"4","일","n","여","33724"
"4","월","o","남자","46642"
"4","화","a","여","23263"
"4","수","b","남자","19999"
"4","목","c","여","30205"
"4","금","d","남자","4514"
"4","토","e","여","33389"
"4","일","f","남자","16992"
"4","월","g","여","19404"
"4","화","h","남자","16799"
"4","수","i","여","13059"
"4","목","j","남자","5513"
"4","금","k","여","21925"
"4","토","l","남자","44838"
"4","일","m","여","44800"
"4","월","n","남자","49436"
"4","화","o","여","46025"
"4","수","a","남자","11562"
"4","목","b","여","8299"
"4","금","c","남자","17287"
"4","토","d","여","8851"
"4","일","e","남자","4644"
"4","월","f","여","22692"
"4","화","g","남자","17927"
"4","수","h","여","1268"
"4","목","i","남자","39923"
"4","금","j","여","45229"
"4","토","k","남자","31217"
"4","일","l","여","31112"
"4","월","m","남자","13699"
"4","화","n","여","41408"
"4","수","o","남자","39065"
"4","목","a","여","16606"
"4","금","b","남자","20633"
"4","토","c","여","28350"
"4","일","d","남자","32128"
"4","월","e","여","41495"
"4","화","f","남자","8873"
"4","수","g","여","6193"
"4","목","h","남자","24637"
"4","금","i","여","3593"
"4","토","j","남자","9838"
"4","일","k","여","7249"
"4","월","l","남자","29153"
"4","화","m","여","21283"
"4","수","n","남자","22094"
"4","목","o","여","36242"
"4","금","a","남자","47957"
"4","토","b","여","28534"
"4","일","c","남자","27399"
"4","월","d","여","24197"
"4","화","e","남자","40132"
"4","수","f","여","38400"
"4","목","g","남자","10951"
"4","금","h","여","30229"
"4","토","i","남자","10502"
"4","일","j","여","30298"
"4","월","k","남자","18063"
"4","화","l","여","11260"
"4","수","m","남자","1111"
"4","목","n","여","11949"
"4","금","o","남자","201"
"4","토","a","여","28405"
"4","일","b","남자","13840"
"4","월","c","여","4620"
"4","화","d","남자","37396"
"4","수","e","여","20131"
"4","목","f","남자","45553"
"4","금","g","여","37628"
"4","토","h","남자","27563"
"4","일","i","여","10812"
"4","월","j","남자","25941"
"4","화","k","여","19841"
"4","수","l","남자","13964"
"4","목","m","여","9776"
"4","금","n","남자","5875"
"4","토","o","여","43480"
"4","일","a","남자","32120"
"4","월","b","여","43907"
"4","화","c","남자","10270"
"4","수","d","여","39657"
"4","목","e","남자","45212"
"4","금","f","여","14328"
"4","토","g","남자","14959"
"4","일","h","여","49953"
"4","월","i","남자","32895"
"4","화","j","여","1419"
"4","수","k","남자","34400"
"4","목","l","여","27784"
"4","금","m","남자","30076"
"4","토","n","여","26228"
"4","일","o","남자","28289"
"4","월","a","여","5292"
"4","화","b","남자","5619"
"4","수","c","여","26147"
"4","목","d","남자","19414"
"4","금","e","여","46448"
"4","토","f","남자","36875"
"4","일","g","여","41524"
"4","월","h","남자","31723"
"4","화","i","여","20342"
"4","수","j","남자","48994"
"4","목","k","여","21135"
"4","금","l","남자","47926"
"4","토","m","여","40006"
"4","일","n","남자","29996"
"4","월","o","여","42889"
"4","화","a","남자","38696"
"4","수","b","여","46264"
"4","목","c","남자","22299"
"4","금","d","여","43997"
"4","토","e","남자","17807"
"4","일","f","여","36442"
"4","월","g","남자","24829"
"4","화","h","여","11479"
"4","수","i","남자","3045"
"4","목","j","여","32110"
"4","금","k","남자","9486"
"4","토","l","여","48434"
"4","일","m","남자","45584"
"4","월","n","여","43835"
"4","화","o","남자","37001"
"4","수","a","여","45440"
"4","목","b","남자","22489"
"4","금","c","여","8448"
"4","토","d","남자","11406"
"4","일","e","여","48101"
"4","월","f","남자","42820"
"4","화","g","여","29209"
"4","수","h","남자","27011"
"4","목","i","여","38744"
"4","금","j","남자","19484"
"4","토","k","여","9930"
"4","일","l","남자","41647"
"4","월","m","여","49786"
"4","화","n","남자","9588"
"4","수","o","여","19667"
"4","목","a","남자","33427"
"4","금","b","여","46214"
"4","토","c","남자","79"
"4","일","d","여","21807"
"4","월","e","남자","17564"
"4","화","f","여","17414"
"4","수","g","남자","35752"
"4","목","h","여","21529"
"4","금","i","남자","36791"
"4","토","j","여","20869"
"4","일","k","남자","42306"
"4","월","l","여","32094"
"4","화","m","남자","11170"
"4","수","n","여","13360"
"4","목","o","남자","7246"
"4","금","a","여","25417"
"4","토","b","남자","38267"
"4","일","c","여","16093"
"4","월","d","남자","21877"
"4","화","e","여","16674"
"4","수","f","남자","41848"
"4","목","g","여","48518"
"4","금","h","남자","43579"
"4","토","i","여","24418"
"4","일","j","남자","38672"
"4","월","k","여","44364"
"4","화","l","남자","32026"
"4","수","m","여","30922"
"4","목","n","남자","577"
"4","금","o","여","41736"
"4","토","a","남자","9862"
"4","일","b","여","25382"
"4","월","c","남자","28956"
"4","화","d","여","4755"
"4","수","e","남자","46063"
"4","목","f","여","45396"
"4","금","g","남자","10325"
"4","토","h","여","11475"
"4","일","i","남자","2359"
"4","월","j","여","12235"
"4","화","k","남자","8306"
"4","수","l","여","12935"
"4","목","m","남자","16721"
"4","금","n","여","28193"
"4","토","o","남자","45500"
"4","일","a","여","8121"
"4","월","b","남자","6942"
"4","화","c","여","30806"
"4","수","d","남자","1553"
"4","목","e","여","3921"
"4","금","f","남자","9253"
"4","토","g","여","25772"
"4","일","h","남자","25061"
"4","월","i","여","39700"
"4","화","j","남자","37068"
"4","수","k","여","4314"
"4","목","l","남자","11170"
"4","금","m","여","19399"
"4","토","n","남자","11722"
"4","일","o","여","21264"
"5월",,,,
,,,,
"5","월","a","남자","36621"
"5","화","b","여","9460"
"5","수","c","남자","37500"
"5","목","d","여","36037"
"5","금","e","남자","41031"
"5","토","f","여","15486"
"5","일","g","남자","48328"
"5","월","h","여","40376"
"5","화","i","남자","48986"
"5","수","j","여","27658"
"5","목","k","남자","20026"
"5","금","l","여","22524"
"5","토","m","남자","31901"
"5","일","n","여","31728"
"5","월","o","남자","23741"
"5","화","a","여","29400"
"5","수","b","남자","49881"
"5","목","c","여","19442"
"5","금","d","남자","16537"
"5","토","e","여","44727"
"5","일","f","남자","3737"
"5","월","g","여","34579"
"5","화","h","남자","32193"
"5","수","i","여","24526"
"5","목","j","남자","462"
"5","금","k","여","46458"
"5","토","l","남자","33714"
"5","일","m","여","9"
"5","월","n","남자","22159"
"5","화","o","여","11190"
"5","수","a","남자","7163"
"5","목","b","여","1730"
"5","금","c","남자","24037"
"5","토","d","여","9864"
"5","일","e","남자","29676"
"5","월","f","여","48163"
"5","화","g","남자","16201"
"5","수","h","여","18493"
"5","목","i","남자","10782"
"5","금","j","여","22093"
"5","토","k","남자","28728"
"5","일","l","여","27987"
"5","월","m","남자","3762"
"5","화","n","여","17529"
"5","수","o","남자","40454"
"5","목","a","여","29433"
"5","금","b","남자","1084"
"5","토","c","여","26684"
"5","일","d","남자","19088"
"5","월","e","여","12311"
"5","화","f","남자","1939"
"5","수","g","여","33102"
"5","목","h","남자","20499"
"5","금","i","여","17714"
"5","토","j","남자","39942"
"5","일","k","여","1810"
"5","월","l","남자","22721"
"5","화","m","여","26105"
"5","수","n","남자","11402"
"5","목","o","여","18732"
"5","금","a","남자","23135"
"5","토","b","여","44861"
"5","일","c","남자","14748"
"5","월","d","여","16986"
"5","화","e","남자","31163"
"5","수","f","여","49864"
"5","목","g","남자","38578"
"5","금","h","여","37882"
"5","토","i","남자","735"
"5","일","j","여","15362"
"5","월","k","남자","16198"
"5","화","l","여","23696"
"5","수","m","남자","27866"
"5","목","n","여","30194"
"5","금","o","남자","29133"
"5","토","a","여","12775"
"5","일","b","남자","38220"
"5","월","c","여","38769"
"5","화","d","남자","31441"
"5","수","e","여","34932"
"5","목","f","남자","18155"
"5","금","g","여","37374"
"5","토","h","남자","26532"
"5","일","i","여","4981"
"5","월","j","남자","6542"
"5","화","k","여","20302"
"5","수","l","남자","12678"
"5","목","m","여","15667"
"5","금","n","남자","49109"
"5","토","o","여","41225"
"5","일","a","남자","25976"
"5","월","b","여","10673"
"5","화","c","남자","15497"
"5","수","d","여","37749"
"5","목","e","남자","31867"
"5","금","f","여","6168"
"5","토","g","남자","25288"
"5","일","h","여","7513"
"5","월","i","남자","14345"
"5","화","j","여","48185"
"5","수","k","남자","3312"
"5","목","l","여","46713"
"5","금","m","남자","1058"
"5","토","n","여","2638"
"5","일","o","남자","7888"
"5","월","a","여","48131"
"5","화","b","남자","2023"
"5","수","c","여","48793"
"5","목","d","남자","4432"
"5","금","e","여","19961"
"5","토","f","남자","26896"
"5","일","g","여","1267"
"5","월","h","남자","35018"
"5","화","i","여","27471"
"5","수","j","남자","7921"
"5","목","k","여","12856"
"5","금","l","남자","49427"
"5","토","m","여","4495"
"5","일","n","남자","43129"
"5","월","o","여","11731"
"5","화","a","남자","34023"
"5","수","b","여","20979"
"5","목","c","남자","11397"
"5","금","d","여","15408"
"5","토","e","남자","30410"
"5","일","f","여","20180"
"5","월","g","남자","45550"
"5","화","h","여","7946"
"5","수","i","남자","15640"
"5","목","j","여","43883"
"5","금","k","남자","45994"
"5","토","l","여","3640"
"5","일","m","남자","14985"
"5","월","n","여","30941"
"5","화","o","남자","6043"
"5","수","a","여","9903"
"5","목","b","남자","23935"
"5","금","c","여","1796"
"5","토","d","남자","3868"
"5","일","e","여","17170"
"5","월","f","남자","23282"
"5","화","g","여","30954"
"5","수","h","남자","6355"
"5","목","i","여","19231"
"5","금","j","남자","10050"
"5","토","k","여","6757"
"5","일","l","남자","4628"
"5","월","m","여","49847"
"5","화","n","남자","9410"
"5","수","o","여","24262"
"5","목","a","남자","27355"
"5","금","b","여","37770"
"5","토","c","남자","11859"
"5","일","d","여","4360"
"5","월","e","남자","12656"
"5","화","f","여","16444"
"5","수","g","남자","19743"
"5","목","h","여","14725"
"5","금","i","남자","42275"
"5","토","j","여","14079"
"5","일","k","남자","44638"
"5","월","l","여","12763"
"5","화","m","남자","36420"
"5","수","n","여","26775"
"5","목","o","남자","26000"
"5","금","a","여","40073"
"5","토","b","남자","47540"
"5","일","c","여","31716"
"5","월","d","남자","21796"
"5","화","e","여","6605"
"5","수","f","남자","42309"
"5","목","g","여","2510"
"5","금","h","남자","14922"
"5","토","i","여","36622"
"5","일","j","남자","41819"
"5","월","k","여","15494"
"5","화","l","남자","15733"
"5","수","m","여","23934"
"5","목","n","남자","28026"
"5","금","o","여","45129"
"5","토","a","남자","13296"
"5","일","b","여","27933"
"5","월","c","남자","27283"
"5","화","d","여","12053"
"5","수","e","남자","640"
"5","목","f","여","11439"
"5","금","g","남자","16439"
"5","토","h","여","17583"
"5","일","i","남자","6762"
"5","월","j","여","34075"
